Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time,CPU Utilization Start,CPU Utilization Finish
DatacenterBrokerSimple,52,7,16,0,16,1,1
DatacenterBrokerSimple,7,7,17,0,17,1,1
DatacenterBrokerSimple,8,8,20,0,20,1,1
DatacenterBrokerSimple,88,7,21,0,21,1,1
DatacenterBrokerSimple,16,7,21,0,21,1,1
DatacenterBrokerSimple,0,0,22,0,22,1,1
DatacenterBrokerSimple,44,8,23,0,23,1,1
DatacenterBrokerSimple,13,4,23,0,23,1,1
DatacenterBrokerSimple,81,0,23,0,23,1,1
DatacenterBrokerSimple,4,4,24,0,24,1,1
DatacenterBrokerSimple,9,0,29,0,29,1,1
DatacenterBrokerSimple,75,3,29,0,29,1,1
DatacenterBrokerSimple,10,1,29,0,29,1,1
DatacenterBrokerSimple,70,7,15,16,31,1,1
DatacenterBrokerSimple,12,3,33,0,33,1,1
DatacenterBrokerSimple,3,3,33,0,33,1,1
DatacenterBrokerSimple,61,7,18,18,36,1,1
DatacenterBrokerSimple,73,1,36,0,36,1,1
DatacenterBrokerSimple,1,1,37,0,37,1,1
DatacenterBrokerSimple,80,8,19,23,41,1,1
DatacenterBrokerSimple,40,4,18,24,42,1,1
DatacenterBrokerSimple,17,8,22,21,43,1,1
DatacenterBrokerSimple,53,8,22,21,43,1,1
DatacenterBrokerSimple,45,0,24,22,45,1,1
DatacenterBrokerSimple,31,4,23,23,46,1,1
DatacenterBrokerSimple,79,7,15,31,47,1,1
DatacenterBrokerSimple,18,0,23,29,52,1,1
DatacenterBrokerSimple,97,7,18,36,54,1,1
DatacenterBrokerSimple,15,6,56,0,57,1,1
DatacenterBrokerSimple,66,3,24,33,57,1,1
DatacenterBrokerSimple,6,6,58,0,58,1,1
DatacenterBrokerSimple,49,4,17,42,59,1,1
DatacenterBrokerSimple,21,3,26,33,59,1,1
DatacenterBrokerSimple,76,4,18,42,60,1,1
DatacenterBrokerSimple,19,1,31,29,60,1,1
DatacenterBrokerSimple,82,1,28,36,65,1,1
DatacenterBrokerSimple,28,1,28,38,65,1,1
DatacenterBrokerSimple,30,3,33,33,66,1,1
DatacenterBrokerSimple,62,8,23,43,66,1,1
DatacenterBrokerSimple,26,8,24,43,67,1,1
DatacenterBrokerSimple,55,1,38,29,67,1,1
DatacenterBrokerSimple,22,4,23,46,69,1,1
DatacenterBrokerSimple,25,7,17,54,71,1,1
DatacenterBrokerSimple,27,0,29,52,81,1,1
DatacenterBrokerSimple,85,4,16,69,85,1,1
DatacenterBrokerSimple,93,3,29,57,86,1,1
DatacenterBrokerSimple,48,3,26,59,86,1,1
DatacenterBrokerSimple,58,4,17,69,86,1,1
DatacenterBrokerSimple,46,1,27,60,87,1,1
DatacenterBrokerSimple,34,7,19,71,90,1,1
DatacenterBrokerSimple,35,8,24,67,91,1,1
DatacenterBrokerSimple,51,6,43,57,100,1,1
DatacenterBrokerSimple,64,1,36,65,101,1,1
DatacenterBrokerSimple,36,0,22,81,103,1,1
DatacenterBrokerSimple,33,6,45,58,103,1,1
DatacenterBrokerSimple,91,1,37,67,104,1,1
DatacenterBrokerSimple,67,4,18,86,104,1,1
DatacenterBrokerSimple,43,7,18,90,109,1,1
DatacenterBrokerSimple,89,8,19,91,110,1,1
DatacenterBrokerSimple,71,8,21,91,112,1,1
DatacenterBrokerSimple,39,3,29,86,114,1,1
DatacenterBrokerSimple,5,5,123,0,124,1,1
DatacenterBrokerSimple,94,4,20,104,125,1,1
DatacenterBrokerSimple,54,0,23,103,127,1,1
DatacenterBrokerSimple,32,5,129,0,130,1,1
DatacenterBrokerSimple,98,8,19,111,130,1,1
DatacenterBrokerSimple,37,1,36,101,137,1,1
DatacenterBrokerSimple,57,3,33,115,147,1,1
DatacenterBrokerSimple,63,0,25,127,151,1,1
DatacenterBrokerSimple,69,6,54,100,154,1,1
DatacenterBrokerSimple,2,2,159,0,159,1,1
DatacenterBrokerSimple,42,6,58,103,162,1,1
DatacenterBrokerSimple,14,5,165,0,165,1,1
DatacenterBrokerSimple,23,5,178,0,179,1,1
DatacenterBrokerSimple,84,3,31,148,179,1,1
DatacenterBrokerSimple,72,0,30,151,181,1,1
DatacenterBrokerSimple,29,2,181,0,181,1,1
DatacenterBrokerSimple,41,5,182,0,182,1,1
DatacenterBrokerSimple,11,2,208,0,208,1,1
DatacenterBrokerSimple,90,0,28,181,209,1,1
DatacenterBrokerSimple,24,6,57,162,218,1,1
DatacenterBrokerSimple,99,0,24,209,233,1,1
DatacenterBrokerSimple,60,6,41,219,259,1,1
DatacenterBrokerSimple,86,5,171,124,294,1,1
DatacenterBrokerSimple,50,5,176,130,305,1,1
DatacenterBrokerSimple,95,5,124,182,306,1,1
DatacenterBrokerSimple,78,6,47,259,306,1,1
DatacenterBrokerSimple,96,6,57,259,317,1,1
DatacenterBrokerSimple,68,5,154,166,319,1,1
DatacenterBrokerSimple,47,2,171,159,330,1,1
DatacenterBrokerSimple,56,2,174,159,333,1,1
